Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,"9,224.37",Afghanistan,"1,528.18",,Afghanistan,500,26,11.00%,,,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Philippines,WPR,"101,716,359.00","East, South and South-East Asia",A,"219,807.38","171,126.20","48,681.18",90.00,90.00,64.00,"12,533.00","46,419",27.00%,"12,492","45,919",27.20%,41.00,500.00,10%,"12,000","8,622","3,264.57",862.17,1047.28,38.71,416.07,1.06,5.42,745.77,264.13,104.69,446.94,879.5,14.93,3964.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,"3,332.48",Palestine,137.03,,Saudi Arabia,,92,,,,,,,,,Senegal,40 [34-49],18 375,40.00%,"18,375.00",1046.8152226205,38.60800175806563,415.63358845483754,1.0620592579487795,5.417350380370998,745.6702097366299,264.09242401354555,104.616123382479,446.60185245833065,862.4555086024997,14.936932429422413,3945.9092730946304
Poland,EUR,"37,986,412.00",Europe and Central Asia,A,"7,167.19","6,596.05",571.14,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"3,608,044","4,840",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan,"67,978.19",Panama,246.88,,Senegal,"4,800","1,183",25.00%,,,,,,,,Serbia,No data,1 400,,"1,400.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,EUR,"10,358,076.00",Europe and Central Asia,A,"31,209.44","30,996.17",213.27,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"983,836","1,320",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Palestine,690.76,Papua New Guinea,"3,711.09",,Serbia,,11,,,,,,,,,Seychelles,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,AMR,"3,473,181.00",,B,"12,713.40","12,482.09",231.31,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,26.54,0.11,9.87,0.0,0.0,20.54,7.48,2.23,10.84,24.8,0.42,102.81,,,,,,,,,,,,,,,,,,,,,,,,,,,Panama,"23,000.54",Paraguay,829.32,,Seychelles,,,,,,,,,,,Sierra Leone,27 [24-31],14 041,27.00%,"14,041.00",26.54458808684205,0.10595922883970435,9.87207824233348,0.0,0.0,20.535806951310008,7.475027013901343,2.227979346629343,10.839035307221502,24.32468014274197,0.41679349558254203,102.34194781540194
Qatar,EMR,"2,481,539.00",,A,346.51,336.58,9.92,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.72,0.0,0.27,0.0,0.0,0.55,0.2,0.06,0.29,0.67,0.01,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,"39,671.85",Peru,561.47,,Sierra Leone,"4,400",575,13.00%,,,,,,,,Singapore,High-income country,1 533,,"1,533.00",0.7157757601707163,0.002857194367519197,0.26620094029161806,0.0,0.0,0.5537487635221284,0.2015643688147509,0.06007754218151802,0.2922749718760731,0.6559158636449578,0.011238851405747914,2.7596542562750295
Republic of Korea,WPR,"51,014,947.00",,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,"25,519","1,427","9,281.73",0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Paraguay,"16,829.96",Philippines,"48,681.18",,Singapore,,0,,,,,,,,,Slovakia,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Moldova,EUR,"3,554,108.00",Europe and Central Asia,A,0.00,0.00,0.00,84.00,84.00,97.14,"3,850.00","18,333",21.00%,"3,744","18,133",20.65%,106.00,200.00,75%,"18,000",240,"3,716.47",179.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Peru,"41,977.43",Poland,571.14,,Slovakia,,,,,,,,,,,Slovenia,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,EUR,"19,815,481.00",Europe and Central Asia,A,"5,167.92","4,608.22",559.70,97.14,97.14,97.14,"10,551.00",,0.00%,"10,308",,0.00%,243.00,,,"26,374",35,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,"171,126.20",Portugal,213.27,,Slovenia,,,,,,,,,,,Solomon Islands,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,EUR,"144,096,870.00",Europe and Central Asia,A,"988,825.31","948,880.70","39,944.61",97.14,97.14,97.14,,,36.37%,,,0.00%,,,,"780,475","9,711",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,"6,596.05",Puerto Rico,231.31,,Solomon Islands,,,,,,,,,,,Somalia,8 [5-10],2 310,8.00%,"2,310.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,AFR,"11,629,553.00",Sub-Saharan Africa,A,"275,603.83","197,362.90","78,240.93",91.00,97.14,97.14,"158,728.00","200,922",79.00%,"150,462","189,922",79.22%,"8,266.00","11,000.00",74%,"170,000","33,000","134,679.53","24,420.00",4443.19,402.61,1989.81,11.39,58.65,2686.54,870.17,520.48,2070.95,2957.02,45.22,16056.04,,,,,,,,,,,,,,,,,,,,,,,,,,,Portugal,"30,996.17",Qatar,9.92,,Somalia,"3,100",112,4.00%,,,,,,,,South Africa,48 [46-52],3 384 160,48.00%,"3,384,160.00",4439.222637899166,401.4891562478563,1985.6609336466086,11.395300509107944,58.65875799282231,2686.5646073922667,870.164769958488,519.5071418864586,2067.9157397654085,2905.719660799932,45.244008541362206,15991.542714639478
Saint Kitts and Nevis,AMR,"54,288.00",Latin America and the Caribbean,B,0.00,0.00,0.00,97.14,97.14,97.14,,,100.00%,,,100.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto Rico,"12,482.09",Romania,559.70,,South Africa,"240,000","174,891",74.00%,,,,,,,,South Sudan,11 [7-15],19 553,11.00%,"19,553.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Lucia,AMR,"177,206.00",Latin America and the Caribbean,B,439.96,412.16,27.80,67.00,67.00,97.14,,,100.00%,,,100.00%,,,,,,,,31.16,0.11,11.25,0.0,0.0,24.66,8.73,2.37,12.42,29.32,0.44,120.45,,,,,,,,,,,,,,,,,,,,,,,,,,,Qatar,336.58,Russia,"39,944.61",,South Sudan,"14,000",728,5.00%,,,,,,,,Spain,74 [63-87],110 000,74.00%,"110,000.00",31.16234656194574,0.11110130532745036,11.246312830937791,0.0,0.0,24.659229484862937,8.72549825090891,2.3726995363323704,12.41825754953374,28.827910802494188,0.4376582421256037,119.96101456446874
Saint Vincent and the Grenadines,AMR,"109,455.00",Latin America and the Caribbean,B,944.46,888.06,56.40,97.14,97.14,97.14,,,100.00%,,,100.00%,,,,,,,,5.82,0.02,2.1,0.0,0.0,4.6,1.63,0.44,2.32,5.48,0.08,22.49,,,,,,,,,,,,,,,,,,,,,,,,,,,Romania,"4,608.22",Rwanda,"78,240.93",,Spain,100,400,95.00%,,,,,,,,Sri Lanka,19 [13-30],804,19.00%,804.00,5.819138770403399,0.020746637676601995,2.1000939351118326,0.0,0.0,4.604771276078154,1.6293665517780818,0.44306894010512454,2.3189384606739463,5.383215063315522,0.08172664532425639,22.401066280466917
Samoa,WPR,"193,759.00",Oceania,A,407.23,339.61,67.62,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.72,0.0,0.27,0.0,0.0,0.56,0.2,0.06,0.29,0.67,0.01,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia,"948,880.70",Saint Lucia,27.80,,Sri Lanka,100,36,46.00%,,,,,,,,Sudan,8 [5-13],4 388,8.00%,"4,388.00",0.7222194007712194,0.0028829157381698093,0.2685973656558216,0.0,0.0,0.5587337856668548,0.20337891524504595,0.060618379286545065,0.294906123949234,0.6618206264557138,0.011340027113631378,2.7844975398822363
San Marino,EUR,"32,960.00",Europe and Central Asia,A,0.00,0.00,0.00,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Rwanda,"197,362.90",Saint Vincent and the Grenadines,56.40,,Sudan,"3,500",394,11.00%,,,,,,,,Suriname,55 [48-63],2 076,55.00%,"2,076.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao Tome and Principe,AFR,"195,553.00",Sub-Saharan Africa,A,22.98,21.51,1.47,62.00,61.00,71.00,,,35.84%,,,35.84%,,,,"1,200",132,430.02,0.00,0.6,0.0,0.22,0.0,0.0,0.46,0.17,0.05,0.24,0.56,0.01,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Lucia,412.16,Samoa,67.62,,Suriname,100,74,95.00%,,,,,,,,Swaziland,67 [62-73],147 274,67.00%,"147,274.00",0.5984017786527006,0.0023907317331197703,0.22259591915251206,0.0,0.0,0.4628631151076869,0.16851503517372127,0.05026292231420358,0.24438688241801337,0.5483176204196976,0.009403893986518029,2.3071378989581732
Saudi Arabia,EMR,"31,557,144.00",Middle East and North Africa,A,"24,373.23","22,159.24","2,213.99",90.00,91.00,85.00,,,0.00%,,,0.00%,92.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Vincent and the Grenadines,888.06,Sao Tome and Principe,1.47,,Swaziland,"10,000","8,063",78.00%,,,,,,,,Sweden,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,AFR,"14,976,994.00",Sub-Saharan Africa,A,"134,448.76","101,581.20","32,867.56",77.00,77.00,74.00,"18,375.00","45,938",40.00%,"17,192","41,138",41.79%,"1,183.00","4,800.00",25%,"37,000","10,112","15,462.87","2,528.03",2452.08,144.93,1014.79,4.12,21.09,1649.46,567.06,265.57,1076.33,1899.79,31.33,9126.56,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoa,339.61,Saudi Arabia,"2,213.99",,Sweden,,,,,,,,,,,Switzerland,High-income country,No data,,,2450.693086826032,144.52751535340363,1013.2901381457177,4.125381204486342,21.087541097898914,1649.4806580027719,567.0580645264846,265.25529004952534,1075.2298383376055,1864.266150436786,31.34913160330004,9086.362795584011
Serbia,EUR,"7,095,383.00",Europe and Central Asia,A,"2,238.16","2,154.67",83.49,97.14,97.14,97.14,"1,400.00",,0.00%,"1,389",,0.00%,11.00,,,"9,444",13,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,21.51,Scotland,44.14,,Switzerland,,,,,,,,,,,Syrian Arab Republic,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,AFR,"93,419.00",Sub-Saharan Africa,A,257.17,241.51,15.66,52.00,52.00,80.00,,,35.84%,,,35.84%,,,,,,,,8.48,0.03,3.16,0.0,0.0,6.56,2.39,0.71,3.47,7.93,0.13,32.86,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia,"22,159.24",Senegal,"32,867.56",,Syrian Arab Republic,,,,,,,,,,,Tajikistan,19 [15-24],3 139,19.00%,"3,139.00",8.486824550387647,0.033906518145240004,3.156963396287054,0.0,0.0,6.564549419637816,2.3899620432976834,0.7128531670324187,3.466013416884645,7.776506702345218,0.13337059013045402,32.72094980414818
Sierra Leone,AFR,"7,237,025.00",Sub-Saharan Africa,A,"152,842.72","128,471.30","24,371.42",97.14,97.14,97.14,"14,041.00","52,004",27.00%,"13,466","47,604",28.29%,575.00,"4,400.00",13%,"53,000","5,800","14,992.49",754.00,230.22,7.36,90.64,0.2,1.01,166.01,59.07,22.46,97.67,196.56,3.33,874.52,,,,,,,,,,,,,,,,,,,,,,,,,,,Scotland,"1,881.44",Serbia,83.49,,Tajikistan,500,501,95.00%,,,,,,,,Thailand,65 [60-72],282 135,65.00%,"282,135.00",230.1888341508839,7.341046800317177,90.57828287946882,0.19770883819709129,1.0089012958800645,166.03208370535447,59.07785537302968,22.447125012698287,97.62248364519441,192.80176876485876,3.3357901880538665,870.6318806539365
Singapore,WPR,"5,535,002.00","East, South and South-East Asia",A,650.56,630.10,20.47,93.00,93.00,97.14,"1,533.00","6,088",25.18%,"1,533","6,088",25.18%,0.00,,,,457,,0.00,2.23,0.01,0.83,0.0,0.0,1.72,0.63,0.19,0.91,2.08,0.04,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,Senegal,"101,581.20",Seychelles,15.66,,Thailand,"4,100","3,813",95.00%,,,,,,,,The former Yugoslav republic of Macedonia,No data,No data,,,2.2297402135999893,0.009062240379941055,0.8328642272094201,0.0,0.0,1.7187060693838434,0.6281295268297538,0.1900374151761462,0.9134888078313765,2.040146693112493,0.03563744803837647,8.597812641561339
Sint Maarten (Dutch part),AMR,"38,824.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Serbia,"2,154.67",Sierra Leone,"24,371.42",,The former Yugoslav Republic of Macedonia,,,,,,,,,,,Timor-Leste,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,EUR,"5,423,801.00",Europe and Central Asia,A,266.52,266.33,0.19,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"515,166",691,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Seychelles,241.51,Singapore,20.47,,Timor-Leste,,,,,,,,,,,Togo,41 [35-48],43 603,41.00%,"43,603.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,EUR,"2,063,531.00",Europe and Central Asia,A,83.00,75.86,7.14,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"195,999",263,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Sierra Leone,"128,471.30",Slovakia,0.19,,Togo,"9,000","3,058",34.00%,,,,,,,,Tonga,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,WPR,"587,482.00",Oceania,A,"1,302.39","1,064.90",237.49,83.00,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,13.46,0.05,5.01,0.0,0.0,10.41,3.79,1.13,5.5,12.57,0.21,52.14,,,,,,,,,,,,,,,,,,,,,,,,,,,Singapore,630.10,Slovenia,7.14,,Tonga,,,,,,,,,,,Trinidad and Tobago,62 [59-66],6 720,62.00%,"6,720.00",13.461095211415499,0.05373326055288998,5.0062553135065,0.0,0.0,10.413966557343517,3.7906804209143656,1.1298364101913194,5.496611429533805,12.335351911186203,0.21136123526122308,51.89889174990532
Somalia,EMR,"13,908,129.00",Sub-Saharan Africa,A,"92,811.29","60,049.43","32,761.86",81.00,97.14,97.14,"2,310.00","28,875",8.00%,"2,198","25,775",8.53%,112.00,"3,100.00",4%,"25,000",710,"2,131.91",28.41,245.76,18.58,104.79,0.54,2.77,157.38,53.62,29.34,110.02,179.51,3.12,905.41,,,,,,,,,,,,,,,,,,,,,,,,,,,Slovakia,266.33,Solomon Islands,237.49,,Trinidad and Tobago,100,131,95.00%,,,,,,,,Tunisia,28 [19-41],734,28.00%,734.00,245.63515522048237,18.524498117510724,104.61093778557633,0.5430919796584411,2.7678541436667325,157.42758014563458,53.63669287872482,29.297228610334347,109.89525144578182,176.03087829414972,3.120943172766402,901.4901117942862
South Africa,AFR,"55,011,976.68",Sub-Saharan Africa,A,"9,101,345.00","7,063,812.00","2,037,533.00",97.14,97.14,97.14,"3,384,160.00","7,050,333",48.00%,"3,209,269","6,810,333",47.12%,"174,891.00","240,000.00",74%,"540,000","440,000","254,467.02","325,600.00",30935.22,3314.4,14444.81,94.26,485.39,17476.86,5577.15,3925.12,14886.25,18926.67,305.56,110371.69,,,,,,,,,,,,,,,,,,,,,,,,,,,Slovenia,75.86,Somalia,"32,761.86",,Tunisia,,20,,,,,,,,,Turkey,No data,No data,,,30901.445043356103,3305.1301385950173,14410.189505368464,94.30179373174812,485.430471305113,17476.490801053147,5576.9177157871,3916.765646816944,14860.861751383853,18579.588409339754,305.7093109284899,109912.83058766574
South Sudan,AFR,"11,882,136.00",Sub-Saharan Africa,A,"485,667.69","390,553.60","95,114.09",76.00,76.00,76.00,"19,553.00","177,755",11.00%,"18,825","163,755",11.50%,728.00,"14,000.00",5%,,,,,2371.79,90.37,947.7,2.49,12.69,1677.44,596.55,242.19,1016.32,1983.04,34.54,8975.11,,,,,,,,,,,,,,,,,,,,,,,,,,,Solomon Islands,"1,064.90",South Africa,"2,037,533.00",,Turkey,,,,,,,,,,,Turkmenistan,No data,No data,,,2371.8598567369663,90.12668694472985,947.1192907456483,2.48962201606421,12.690086360479,1678.1088349895028,596.7901316588077,242.11662967739463,1016.0042009751976,1944.6792093446813,34.57100734528828,8936.555556794761
Spain,EUR,"46,447,697.00",,A,"44,345.05","43,690.42",654.63,12.00,97.14,97.14,"110,000.00","148,649",74.00%,"109,600","148,549",73.78%,400.00,100.00,95%,"61,821",83,"45,611.56",78.78,6334.81,64.87,2360.52,1.2,6.18,4874.83,1737.71,520.56,2587.03,5807.88,91.14,24386.72,,,,,,,,,,,,,,,,,,,,,,,,,,,Somalia,"60,049.43",South Asia,"2,140,739.00",,Turkmenistan,,,,,,,,,,,Tuvalu,No data,No data,,,6334.899217982728,64.7642610007418,2360.1837147119195,1.197728251858905,6.1842027769609995,4875.032385564093,1737.765992676038,520.7087931804211,2586.770748147602,5704.694357934318,91.18797332656223,24283.389375553244
Sri Lanka,SEA,"20,966,000.00","East, South and South-East Asia",A,"2,672.64","2,442.16",230.48,82.00,81.00,97.14,804.00,"4,232",19.00%,768,"4,132",18.59%,36.00,100.00,46%,"2,700","1,872",501.89,861.00,20.85,1.47,8.95,0.04,0.21,13.39,4.57,2.39,9.41,15.31,0.26,76.87,,,,,,,,,,,,,,,,,,,,,,,,,,,South Africa,"7,063,812.00",South East England,87.28,,Tuvalu,,,,,,,,,,,Uganda,57 [53-62],834 931,57.00%,"834,931.00",20.837607193558412,1.4662935728472892,8.935617678130706,0.04168983703369673,0.21374299622862827,13.39508457918875,4.5743314747746915,2.390423228302269,9.400287512885514,15.01600787432092,0.2621578436876241,76.5332437909585
Sudan,EMR,"38,647,803.00",,A,"221,104.87","199,167.10","21,937.77",97.14,97.14,97.14,"4,388.00","54,850",8.00%,"3,994","51,350",7.78%,394.00,"3,500.00",11%,"36,435","1,973","2,833.93",217.07,102.12,5.31,41.93,0.15,0.77,69.54,24.39,11.09,44.58,81.24,1.42,382.56,,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,"11,873,092.00",South Korea,313.37,,Uganda,"96,000","60,029",63.00%,,,,,,,,Ukraine,28 [24-32],60 753,28.00%,"60,753.00",102.09814633017469,5.2999977585007105,41.884115568195995,0.15057570998045156,0.7681650640174678,69.56396941307983,24.395789122303043,11.08560658646359,44.553333258538984,79.65720276794134,1.4211026773612656,380.87800425655735
Suriname,AMR,"553,208.00",Latin America and the Caribbean,B,"6,288.28","6,141.12",147.16,97.14,97.14,97.14,"2,076.00","3,775",55.00%,"2,002","3,675",54.48%,74.00,100.00,95%,"3,600",42,"1,961.39",40.17,21.26,0.38,8.16,0.01,0.05,15.9,5.67,1.86,8.87,18.91,0.31,81.38,,,,,,,,,,,,,,,,,,,,,,,,,,,South East England,"1,431.49",South Sudan,"95,114.09",,Ukraine,"3,200","2,415",75.00%,,,,,,,,United Arab Emirates,High-income country,No data,,,21.25365841392289,0.3820515039762346,8.15243849287807,0.008750553610689374,0.045181532501369276,15.895561747288374,5.6741175762943055,1.8631791772937392,8.869219794107856,18.565676965750175,0.3073746711242209,81.01721042874793
Swaziland,AFR,"1,319,011.00",Sub-Saharan Africa,A,"352,656.93","280,416.90","72,240.03",96.00,97.14,97.14,"147,274.00","219,812",67.00%,"139,211","209,812",66.35%,"8,063.00","10,000.00",78%,"180,000","23,000","119,430.67","17,940.00",2188.45,175.74,964.71,4.93,25.39,1361.4,450.17,248.45,1009.12,1521.64,23.9,7973.9,,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea,"5,913.10",South West England,41.73,,United Arab Emirates,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland,High-income country,No data,,,2186.812842317855,175.26198238240133,962.9346017198358,4.929632285553442,25.390549576438886,1361.462571537436,450.18235268427475,248.04162781210158,1007.8321331055419,1494.5886429718184,23.91744131985048,7941.354377713108
Sweden,EUR,"9,799,186.00",Europe and Central Asia,A,"1,205.82","1,166.96",38.85,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"930,751","1,249",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,South Sudan,"390,553.60",Southeast Asia,"156,293.30",,United Kingdom,,,,,,,,,,,United Republic of Tanzania,53 [48-60],740 078,53.00%,"740,078.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,EUR,"8,282,396.00",Europe and Central Asia,A,"2,685.55","2,623.45",62.11,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"786,683","1,055",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,South West England,813.21,"Southeast Asia, East Asia, and Oceania","280,509.30",,United Republic of Tanzania,"91,000","51,474",56.00%,,,,,,,,United States of America,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syrian Arab Republic,EMR,"18,734,987.00",Middle East and North Africa,A,0.00,0.00,0.00,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Southeast Asia,"2,592,415.00",Southern Latin America,"5,271.33",,United States,,,,,,,,,,,Uruguay,60 [52-71],6 113,60.00%,"6,113.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tajikistan,EUR,"8,548,651.00",Europe and Central Asia,A,"8,972.27","8,162.65",809.62,82.00,80.00,93.00,"3,139.00","16,521",19.00%,"2,638","16,021",16.47%,501.00,500.00,95%,"8,900",576,"1,465.46",547.32,85.59,10.75,42.58,0.3,1.56,43.65,13.5,11.55,43.38,45.93,0.78,299.58,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Asia, East Asia, and Oceania","4,471,543.00",Southern Sub-Saharan Africa,"2,989,348.00",,Uruguay,100,113,95.00%,,,,,,,,Uzbekistan,40 [30-58],13 186,40.00%,"13,186.00",85.50032554782514,10.721607519144685,42.47996609690439,0.3029935968489508,1.5644398803539434,43.65773617652482,13.501026607448358,11.526496837042341,43.30262136802387,45.065476008396345,0.7762468898887455,298.3989365284016
Tanzania,AFR,"53,879,957.00",Sub-Saharan Africa,A,"2,700,468.60","2,157,596.00","542,872.60",97.14,97.14,97.14,,,36.37%,,,35.84%,,,,"1,200,000","260,000","430,023.11",0.00,4516.53,18.04,1680.14,0.0,0.0,3493.68,1271.96,379.2,1844.66,4219.16,70.95,17494.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern Latin America,"102,351.00",Spain,654.63,,Uzbekistan,1000,"4,575",95.00%,,,,,,,,Vanuatu,No data,No data,,,4517.571450585898,18.048578411428622,1680.4645394677873,0.0,0.0,3494.3365292925077,1272.1865794070636,379.4546590100418,1844.9731305863452,4139.466352253032,70.99371110406801,17417.495530118173
Thailand,SEA,"68,657,600.00","East, South and South-East Asia",A,"618,690.50","617,388.60","1,301.90",87.00,87.00,93.00,"282,135.00","434,054",65.00%,"278,322","429,954",64.73%,"3,813.00","4,100.00",95%,"460,000","5,826","297,771.78","5,534.41",11191.26,54.65,4124.47,0.35,1.82,8716.23,3134.06,906.19,4536.34,10447.96,166.87,43280.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern Sub-Saharan Africa,"10,478,537.00",Sri Lanka,230.48,,Vanuatu,,,,,,,,,,,Venezuela (Bolivarian Republic of),59 [54-64],63 328,59.00%,"63,328.00",11191.592948355938,54.63807487274448,4124.356515444338,0.35188495347539156,1.8168794992319024,8716.192479630618,3134.0178592569587,906.6078864501542,4536.1626927878115,10258.586285583333,166.9517339655704,43091.27524080017
The Former Yugoslav Republic of Macedonia,EUR,"2,079,308.00",Europe and Central Asia,A,0.00,0.00,0.00,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,"43,690.42",Stockholm,16.78,,Venezuela (Bolivarian Republic of),"2,100","1,145",55.00%,,,,,,,,Viet Nam,42 [37-47],106 373,42.00%,"106,373.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
